ID,type,location
1,white,Texas
2,white,Texas
3,white,Texas
4,white,California
5,white,California
6,white,California
7,red,Texas
8,white,Texas
9,white,Texas
10,white,California
11,red,California
12,white,California
13,white,Texas
14,,Texas
15,red,Texas
16,red,California
17,white,California
18,white,California
19,red,California
20,white,California
21,white,California
22,white,California
23,red,Texas
24,white,Texas
25,white,California
26,,California
27,white,California
28,white,California
29,white,Texas
30,red,California
31,red,California
32,white,Texas
33,white,California
34,red,California
35,white,Texas
36,white,California
37,red,California
38,white,California
39,white,California
40,white,Texas
41,red,Texas
42,,Texas
43,white,California
44,white,California
45,white,Texas
46,white,California
47,white,Texas
48,white,California
49,white,California
50,white,California
51,white,Texas
52,white,Texas
53,red,Texas
54,white,California
55,white,Texas
56,white,California
57,white,California
58,,California
59,white,California
60,white,California
61,red,Texas
62,red,Texas
63,red,California
64,white,Texas
65,red,California
66,white,California
67,white,Texas
68,red,California
69,white,California
70,white,California
71,red,California
72,white,California
73,white,California
74,white,California
75,white,California
76,white,Texas
77,white,Texas
78,white,California
79,,California
80,white,California
81,white,California
82,red,California
83,white,Texas
84,white,California
85,red,California
86,white,Texas
87,white,California
88,red,California
89,white,Texas
90,red,California
91,red,California
92,red,California
93,white,Texas
94,white,California
95,red,California
96,red,Texas
97,red,Texas
98,white,California
99,red,Texas
100,white,California
101,white,California
102,white,California
103,white,Texas
104,white,Texas
105,red,California
106,white,California
107,,Texas
108,white,Texas
109,red,Texas
110,white,California
111,white,California
112,white,California
113,white,California
114,white,Texas
115,white,California
116,white,Texas
117,white,Texas
118,white,Texas
119,white,California
120,white,Texas
121,white,Texas
122,white,Texas
123,white,California
124,white,California
125,white,Texas
126,white,California
127,,California
128,white,Texas
129,,California
130,white,California
131,,California
132,,California
133,,California
134,,California
135,red,California
136,white,Texas
137,white,Texas
138,,California
139,,California
140,,California
141,,Texas
142,white,California
143,,California
144,white,Texas
145,white,Texas
146,white,Texas
147,white,California
148,white,California
149,red,Texas
150,white,Texas
151,red,California
152,white,California
