"ID","fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","quality","type","location","type_imputed"
5464,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,"6","red","California","red"
5465,7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,"5","red","Texas","red"
5466,8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,"5","red","Texas","red"
5467,6.7,0.13,0.32,3.7,0.017,32,99,0.99348,3.12,0.44,10,"5","white","California","white"
5468,7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,"5","red","Texas","red"
5469,7,0.17,0.31,4.8,0.034,34,132,0.9944,3.36,0.48,9.6,"5","white","California","white"
5470,7,0.18,0.49,5.3,0.04,34,125,0.9914,3.24,0.4,12.2,"6","white","California","white"
5471,5.7,0.36,0.34,4.2,0.026,21,77,0.9907,3.41,0.45,11.9,"6","white","California","white"
5472,6.6,0.19,0.28,11.8,0.042,54,137,0.99492,3.18,0.37,10.8,"5","white","California","white"
5473,7.8,0.43,0.49,13,0.033,37,158,0.9955,3.14,0.35,11.3,"5","white","California","white"
5474,7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,"5","white","California","white"
5475,7.1,0.28,0.28,8.5,0.03,25,191,0.99338,3.16,0.46,12.2,"5","white","California","white"
5476,7.7,0.54,0.26,1.9,0.089,23,147,0.99636,3.26,0.59,9.7,"6","red","Texas","red"
5477,6.5,0.5,0.22,4.1,0.036,35,131,0.9902,3.26,0.55,13,"5","white","California","white"
5478,8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,"7","red","Texas","red"
5479,7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,"5","white","California","white"
5480,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,"6","red","California","red"
5481,7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,"5","white","California","white"
5482,6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,"5","white","Texas","white"
5483,6.8,0.18,0.37,1.5,0.027,37,93,0.992,3.3,0.45,10.8,"6","white","California","white"
5484,7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,"5","red","California","red"
5485,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,"5","red","Texas","red"
5486,6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,"6","red","Texas","red"
5487,8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,"6","red","Texas","red"
5488,6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,"5","white","California","white"
5489,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,"5","white","California","white"
5490,6.8,0.31,0.25,10.5,0.043,30,165,0.9972,3.36,0.55,10.55,"6","white","Texas","white"
5491,7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,"6","white","California","white"
5492,8.3,0.21,0.49,19.8,0.054,50,231,1.0012,2.99,0.54,9.2,"5","white","Texas","white"
5493,5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,"5","white","Texas","white"
5494,6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,"5","white","California","white"
5495,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,"5","white","California","white"
5496,7,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,"7","white","Texas","white"
5497,8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,"6","white","California","white"
5498,7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,"5","white","California","white"
5499,7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,"6","white","California","white"
5500,7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,"5","white","Texas","white"
5501,8.7,0.3,0.34,4.8,0.018,23,127,0.99474,3.12,0.49,11.2,"5","white","California","white"
5502,8.2,0.43,0.29,1.6,0.081,27,45,0.99603,3.25,0.54,10.3,"5","red","Texas","red"
5503,5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,"7","white","California","white"
