ID,quality
5464,6
5465,5
5466,5
5467,5
5468,5
5469,5
5470,6
5471,6
5472,5
5473,5
5474,5
5475,5
5476,6
5477,5
5478,7
5479,5
5480,6
5481,5
5482,5
5483,6
5484,5
5485,5
5486,6
5487,6
5488,5
5489,5
5490,6
5491,6
5492,5
5493,5
5494,5
5495,5
5496,7
5497,6
5498,5
5499,6
5500,5
5501,5
5502,5
5503,7
5504,5
5505,5
5506,5
5507,5
5508,6
5509,5
5510,5
5511,5
5512,5
5513,6
5514,6
5515,5
5516,6
5517,7
5518,6
5519,6
5520,5
5521,5
5522,6
5523,5
5524,5
5525,6
5526,6
5527,6
5528,5
5529,5
5530,6
5531,5
5532,6
5533,6
5534,6
5535,5
5536,7
5537,6
5538,5
5539,5
5540,6
5541,5
5542,6
5543,5
5544,6
5545,5
5546,4
5547,6
5548,6
5549,5
5550,6
5551,6
5552,5
5553,5
5554,5
5555,5
5556,6
5557,6
5558,5
5559,5
5560,5
5561,6
5562,6
5563,5
5564,5
5565,6
5566,6
5567,5
5568,6
5569,5
5570,6
5571,7
5572,5
5573,6
5574,4
5575,6
5576,6
5577,6
5578,5
5579,5
5580,5
5581,5
5582,5
5583,6
5584,5
5585,5
5586,5
5587,6
5588,5
5589,6
5590,6
5591,5
5592,6
5593,5
5594,5
5595,6
5596,6
5597,6
5598,5
5599,6
5600,6
5601,5
5602,6
5603,6
5604,5
5605,6
5606,7
5607,6
5608,6
5609,5
5610,6
5611,5
5612,6
5613,5
5614,6
5615,5
5616,6
5617,5
5618,6
5619,5
5620,5
5621,6
5622,6
5623,5
5624,5
5625,6
5626,6
5627,6
5628,5
5629,5
5630,6
5631,5
5632,5
5633,5
5634,6
5635,5
5636,5
5637,5
5638,5
5639,7
5640,5
5641,6
5642,6
5643,6
5644,6
5645,6
5646,6
5647,6
5648,5
5649,3
5650,6
5651,5
5652,6
5653,6
5654,6
5655,5
5656,6
5657,6
5658,5
5659,6
5660,6
5661,6
5662,5
5663,6
5664,4
5665,5
5666,5
5667,5
5668,6
5669,5
5670,5
5671,5
5672,6
5673,5
5674,5
5675,6
5676,6
5677,6
5678,5
5679,5
5680,5
5681,6
5682,5
5683,5
5684,5
5685,5
5686,5
5687,5
5688,5
5689,5
5690,5
5691,5
5692,6
5693,5
5694,5
5695,5
5696,5
5697,6
5698,5
5699,5
5700,5
5701,5
5702,6
5703,5
5704,6
5705,4
5706,5
5707,5
5708,7
5709,5
5710,5
5711,5
5712,7
5713,5
5714,6
5715,7
5716,6
5717,6
5718,5
5719,5
5720,6
5721,5
5722,6
5723,6
5724,6
5725,6
5726,6
5727,6
5728,6
5729,6
5730,6
5731,6
5732,6
5733,6
5734,5
5735,6
5736,6
5737,6
5738,5
5739,6
5740,5
5741,5
5742,6
5743,7
5744,5
5745,6
5746,6
5747,6
5748,5
5749,6
5750,6
5751,5
5752,5
5753,6
5754,6
5755,6
5756,6
5757,6
5758,7
5759,6
5760,6
5761,6
5762,6
5763,5
5764,6
5765,5
5766,5
5767,6
5768,7
5769,6
5770,5
5771,6
5772,5
5773,6
5774,6
5775,6
5776,6
5777,6
5778,7
5779,6
5780,8
5781,6
5782,6
5783,6
5784,5
5785,6
5786,6
5787,5
5788,5
5789,6
5790,6
5791,5
5792,5
5793,5
5794,6
5795,6
5796,6
5797,6
5798,6
5799,6
5800,6
5801,5
5802,6
5803,6
5804,7
5805,6
5806,6
5807,5
5808,6
5809,5
5810,6
